movie_id,genre_id
after-the-fall,4
after-the-fall,13
after-the-life,4
after-the-life,13
after-the-storm-2016,4
after-the-sunset,2
after-the-sunset,4
after-the-sunset,8
after-the-sunset,13
after-the-wedding,4
after-the-wedding-2019,4
after-tiller,17
after-tiller,4
after-tiller,1
after-tiller,19
after-words,4
afterimage,17
afterimage,4
afterimage,15
afterlife,4
afterlife,6
afterlife,7
aftermath,4
aftermath,6
aftermath-2014,2
aftermath-2014,6
aftermath-2017,4
aftermath-2017,6
afternoon-delight,4
afternoon-delight,8
afternoon-of-a-faun-tanaquil-le-clercq,17
afternoon-of-a-faun-tanaquil-le-clercq,4
afternoon-of-a-faun-tanaquil-le-clercq,18
afternoon-of-a-faun-tanaquil-le-clercq,1
afterschool,4
aftershock,10
aftershock,6
aftershock,7
aftershock,13
against-the-ropes,17
against-the-ropes,4
against-the-ropes,16
against-the-ropes,9
age-of-uprising-the-legend-of-michael-kohlhaas,4
age-of-uprising-the-legend-of-michael-kohlhaas,15
agent-cody-banks,2
agent-cody-banks,10
agent-cody-banks,6
agent-cody-banks,8
agent-cody-banks,9
agent-cody-banks,13
agent-cody-banks,12
agent-cody-banks-2-destination-london,2
agent-cody-banks-2-destination-london,10
agent-cody-banks-2-destination-london,5
agent-cody-banks-2-destination-london,8
agent-cody-banks-2-destination-london,9
agent-cody-banks-2-destination-london,13
agent-cody-banks-2-destination-london,12
agnes,4
agnes,7
agnes-and-his-brothers,4
agnes-and-his-brothers,8
agora,10
agora,4
agora,15
agora,9
ahead-of-time,17
ahead-of-time,1
ai-artificial-intelligence,10
ai-artificial-intelligence,3
ai-artificial-intelligence,4
ai-weiwei-never-sorry,1
ai-weiwei-the-fake-case,4
ai-weiwei-the-fake-case,1
aileen-life-and-death-of-a-serial-killer,13
aileen-life-and-death-of-a-serial-killer,1
ailey,1
aimee-jaguar,4
aimee-jaguar,9
aimee-jaguar,14
aint-in-it-for-my-health-a-film-about-levon-helm,1
aint-them-bodies-saints,4
aint-them-bodies-saints,9
aint-them-bodies-saints,13
air-guitar-nation,17
air-guitar-nation,8
air-guitar-nation,18
air-guitar-nation,1
ajami,4
aka,4
aka-tommy-chong,1
akeelah-and-the-bee,4
akeelah-and-the-bee,12
akillas-escape,4
akillas-escape,13
al-franken-god-spoke,1
aladdin-2019,10
aladdin-2019,11
aladdin-2019,8
aladdin-2019,9
aladdin-2019,12
aladdin-2019,18
alan-partridge,6
alan-partridge,8
albatross,4
albert-nobbs,4
alex-cross,2
alex-cross,5
alex-cross,6
alex-cross,13
alex-emma,8
alex-emma,9
alex-of-venice,4
alex-rider-operation-stormbreaker,2
alex-rider-operation-stormbreaker,10
alex-rider-operation-stormbreaker,12
alex-strangelove,4
alex-strangelove,8
alexander,2
alexander,10
alexander,17
alexander,4
alexander,15
alexander,9
alexander,14
alexander-and-the-terrible-horrible-no-good-very-bad-day,8
alexander-and-the-terrible-horrible-no-good-very-bad-day,12
alexandra,4
alexandra,14
alfie,4
alfie,8
ali,17
ali,4
ali,16
ali-g-indahouse,8
alias-betty,4
alias-betty,6
alias-betty,8
alias-betty,13
alice-2019,4
alice-2019,8
alice-2019,9
alice-et-martin,4
alice-et-martin,9
alice-in-wonderland,10
alice-in-wonderland,11
alice-in-wonderland,12
alice-neel,1
alice-through-the-looking-glass,10
alice-through-the-looking-glass,11
