movie_id,url,title,genre,metascore,userscore,RelDate,rating_id
shut-up-sing,https://www.metacritic.com/movie/shut-up-sing,Shut Up & Sing,"Biography,Music,Documentary",77,7.8,2006-10-27,2
shutter,https://www.metacritic.com/movie/shutter,Shutter,"Mystery,Thriller,Horror",37,8.5,2008-03-21,1
shutter-island,https://www.metacritic.com/movie/shutter-island,Shutter Island,"Drama,Mystery,Thriller",63,8.5,2010-02-19,2
siberia,https://www.metacritic.com/movie/siberia,Siberia,"Thriller,Romance,Crime",34,3.1,2018-07-13,2
siberia-2020,https://www.metacritic.com/movie/siberia-2020,Siberia,"Drama,Fantasy,Horror",59,,2021-06-18,2
sibyl,https://www.metacritic.com/movie/sibyl,Sibyl,"Drama,Comedy",59,4.8,2020-09-11,0
sicario,https://www.metacritic.com/movie/sicario,Sicario,"Action,Drama,Mystery,Thriller,Crime",82,8.1,2015-09-18,2
sicario-day-of-the-soldado,https://www.metacritic.com/movie/sicario-day-of-the-soldado,Sicario: Day of the Soldado,"Action,Drama,Thriller,Crime",61,7.0,2018-06-29,2
sicilian-ghost-story,https://www.metacritic.com/movie/sicilian-ghost-story,Sicilian Ghost Story,"Drama,Mystery,Fantasy,Romance,Crime",70,5.8,2018-11-30,0
sicko,https://www.metacritic.com/movie/sicko,Sicko,"Drama,History,Documentary",74,7.5,2007-06-29,1
siddharth,https://www.metacritic.com/movie/siddharth,Siddharth,Drama,72,,2014-06-27,0
siddhartha,https://www.metacritic.com/movie/siddhartha,Siddhartha (re-release),"Drama,Mystery",80,8.3,2002-09-27,2
side-by-side,https://www.metacritic.com/movie/side-by-side,Side by Side,Documentary,82,8.3,2012-08-17,0
side-effects-2013,https://www.metacritic.com/movie/side-effects-2013,Side Effects,"Drama,Thriller,Crime",75,7.9,2013-02-08,2
sidewalks-of-new-york,https://www.metacritic.com/movie/sidewalks-of-new-york,Sidewalks of New York,"Comedy,Romance",49,7.4,2001-11-21,2
sideways,https://www.metacritic.com/movie/sideways,Sideways,"Drama,Comedy,Romance",94,7.0,2004-10-22,2
sieranevada,https://www.metacritic.com/movie/sieranevada,Sieranevada,"Drama,Comedy,Family",82,6.4,2017-09-03,0
sierra-burgess-is-a-loser,https://www.metacritic.com/movie/sierra-burgess-is-a-loser,Sierra Burgess Is a Loser,"Drama,Comedy,Romance",60,4.3,2018-09-07,1
sightseers,https://www.metacritic.com/movie/sightseers,Sightseers,Comedy,69,6.5,2013-05-10,0
signs,https://www.metacritic.com/movie/signs,Signs,"Sci-Fi,Drama,Mystery,Thriller,Horror",59,7.4,2002-08-02,1
signs-wonders,https://www.metacritic.com/movie/signs-wonders,Signs & Wonders,Drama,60,6.3,2001-02-09,0
silence,https://www.metacritic.com/movie/silence,Silence,"Adventure,Drama,History",79,7.6,2016-12-23,2
silent-hill,https://www.metacritic.com/movie/silent-hill,Silent Hill,"Drama,Mystery,Thriller,Fantasy,Horror",31,7.9,2006-04-21,2
silent-hill-revelation-3d,https://www.metacritic.com/movie/silent-hill-revelation-3d,Silent Hill: Revelation 3D,"Mystery,Thriller,Horror",16,4.7,2012-10-26,2
silent-house,https://www.metacritic.com/movie/silent-house,Silent House,Horror,49,7.8,2012-03-09,2
silent-light,https://www.metacritic.com/movie/silent-light,Silent Light,Drama,79,7.6,2009-01-07,0
silent-night-2021,https://www.metacritic.com/movie/silent-night-2021,Silent Night,"Drama,Horror,Comedy",52,5.5,2021-12-03,0
silent-souls,https://www.metacritic.com/movie/silent-souls,Silent Souls,Drama,76,8.3,2011-09-16,0
silent-water,https://www.metacritic.com/movie/silent-water,Silent Water,Drama,64,,2004-10-08,0
silk,https://www.metacritic.com/movie/silk,Silk,"Drama,Romance",39,5.6,2007-09-14,2
